"STATION","DATE","EMXP"
"USC00338609","1965-08","13.7"
"USC00338609","1965-09","33.0"
"USC00338609","1965-10","34.0"
"USC00338609","1965-11","14.5"
"USC00338609","1965-12","21.3"
"USC00338609","1966-01","7.1"
"USC00338609","1966-02","13.0"
"USC00338609","1966-03","8.9"
"USC00338609","1966-04","22.4"
"USC00338609","1966-05","16.5"
"USC00338609","1966-06","35.8"
"USC00338609","1966-07","20.3"
"USC00338609","1966-08","30.0"
"USC00338609","1966-09","35.8"
"USC00338609","1966-10","10.7"
"USC00338609","1966-11","22.6"
"USC00338609","1966-12","34.8"
"USC00338609","1967-01","23.6"
"USC00338609","1967-02","16.3"
"USC00338609","1967-03","45.0"
"USC00338609","1967-04","15.2"
"USC00338609","1967-05","21.6"
"USC00338609","1967-06","22.6"
"USC00338609","1967-07","16.5"
"USC00338609","1967-08","10.9"
"USC00338609","1967-09","10.4"
"USC00338609","1967-10","30.5"
"USC00338609","1967-11","23.6"
"USC00338609","1967-12","31.2"
"USC00338609","1968-01","23.1"
"USC00338609","1968-02","24.1"
"USC00338609","1968-03","14.5"
"USC00338609","1968-04","25.9"
"USC00338609","1968-05","40.9"
"USC00338609","1968-06","43.7"
"USC00338609","1968-07","28.4"
"USC00338609","1968-08","28.2"
"USC00338609","1968-09","15.2"
"USC00338609","1968-10","13.5"
"USC00338609","1968-11","23.6"
"USC00338609","1968-12","24.1"
"USC00338609","1969-01","19.6"
"USC00338609","1969-02","4.3"
"USC00338609","1969-03","17.3"
"USC00338609","1969-04","57.2"
"USC00338609","1969-05","17.0"
"USC00338609","1969-06","42.9"
"USC00338609","1969-07","32.5"
"USC00338609","1969-08","8.9"
"USC00338609","1969-09","65.5"
"USC00338609","1969-10","8.9"
"USC00338609","1969-11","23.6"
"USC00338609","1969-12","13.7"
"USC00338609","1970-01","5.1"
"USC00338609","1970-02","10.4"
"USC00338609","1970-03","17.8"
"USC00338609","1970-04","34.0"
"USC00338609","1970-05","27.2"
"USC00338609","1970-06","26.4"
"USC00338609","1970-07","28.7"
"USC00338609","1970-08","11.9"
"USC00338609","1970-09","35.3"
"USC00338609","1970-10","27.7"
"USC00338609","1970-11","10.2"
"USC00338609","1970-12","11.2"
"USC00338609","1971-01","17.0"
"USC00338609","1971-02","18.3"
"USC00338609","1971-03","11.2"
"USC00338609","1971-04","14.5"
"USC00338609","1971-05","41.4"
"USC00338609","1971-06","64.0"
"USC00338609","1971-07","34.8"
"USC00338609","1971-08","29.0"
"USC00338609","1971-09","51.6"
"USC00338609","1971-10","21.6"
"USC00338609","1971-11","8.4"
"USC00338609","1971-12","24.1"
"USC00338609","1972-01","6.9"
"USC00338609","1972-02","3.8"
"USC00338609","1972-03","23.6"
"USC00338609","1972-04","39.1"
"USC00338609","1972-05","31.0"
"USC00338609","1972-06","62.7"
"USC00338609","1972-07","58.9"
"USC00338609","1972-08","18.0"
"USC00338609","1972-09","53.3"
"USC00338609","1972-10","24.6"
"USC00338609","1972-11","31.8"
"USC00338609","1972-12","22.9"
"USC00338609","1973-01","13.2"
"USC00338609","1973-02","7.4"
"USC00338609","1973-03","33.8"
"USC00338609","1973-04","19.6"
"USC00338609","1973-05","37.1"
"USC00338609","1973-06","36.3"
"USC00338609","1973-07","21.1"
"USC00338609","1973-08","32.5"
"USC00338609","1973-09","4.8"
"USC00338609","1973-10","22.6"
"USC00338609","1973-11","23.4"
"USC00338609","1973-12","14.2"
"USC00338609","1974-01","15.7"
"USC00338609","1974-02","16.0"
"USC00338609","1974-03","32.8"
"USC00338609","1974-04","17.8"
"USC00338609","1974-05","36.3"
"USC00338609","1974-06","16.8"
"USC00338609","1974-07","3.3"
"USC00338609","1974-08","25.1"
"USC00338609","1974-09","17.8"
"USC00338609","1974-10","7.6"
"USC00338609","1974-11","34.0"
"USC00338609","1974-12","33.5"
"USC00338609","1975-01","18.3"
"USC00338609","1975-02","20.1"
"USC00338609","1975-03","22.9"
"USC00338609","1975-04","22.6"
"USC00338609","1975-05","53.1"
"USC00338609","1975-06","61.7"
"USC00338609","1975-07","20.8"
"USC00338609","1975-08","68.3"
"USC00338609","1975-09","20.6"
"USC00338609","1975-10","26.4"
"USC00338609","1975-11","15.7"
"USC00338609","1975-12","29.7"
"USC00338609","1976-01","24.4"
"USC00338609","1976-02","38.6"
"USC00338609","1976-03","31.2"
"USC00338609","1976-04","29.2"
"USC00338609","1976-05","18.0"
"USC00338609","1976-06","29.5"
"USC00338609","1976-07","19.1"
"USC00338609","1976-08","20.8"
"USC00338609","1976-09","21.8"
"USC00338609","1976-10","18.0"
"USC00338609","1976-11","3.6"
"USC00338609","1976-12","5.3"
"USC00338609","1977-01","11.4"
"USC00338609","1977-02","45.7"
"USC00338609","1977-03","41.9"
"USC00338609","1977-04","55.4"
"USC00338609","1977-05","20.6"
"USC00338609","1977-06","15.2"
"USC00338609","1977-07","20.6"
"USC00338609","1977-08","42.4"
"USC00338609","1977-09","40.1"
"USC00338609","1977-10","20.8"
"USC00338609","1977-11","16.5"
"USC00338609","1977-12","29.7"
"USC00338609","1978-01","22.1"
"USC00338609","1978-02","8.6"
"USC00338609","1978-03","22.1"
"USC00338609","1978-04","24.1"
"USC00338609","1978-05","16.8"
"USC00338609","1978-06","13.0"
"USC00338609","1978-07","26.2"
"USC00338609","1978-08","28.2"
"USC00338609","1978-09","16.8"
"USC00338609","1978-10","11.7"
"USC00338609","1978-11","23.4"
"USC00338609","1978-12","38.4"
"USC00338609","1979-01","30.2"
"USC00338609","1979-02","13.5"
"USC00338609","1979-03","17.5"
"USC00338609","1979-04","22.4"
"USC00338609","1979-05","36.8"
"USC00338609","1979-06","43.2"
"USC00338609","1979-07","35.6"
"USC00338609","1979-08","36.6"
"USC00338609","1979-09","22.4"
"USC00338609","1979-10","23.4"
"USC00338609","1979-11","33.8"
"USC00338609","1979-12","29.0"
"USC00338609","1980-01","11.9"
"USC00338609","1980-02","41.9"
"USC00338609","1980-03","23.6"
"USC00338609","1980-04","14.7"
"USC00338609","1980-05","30.5"
"USC00338609","1980-06","45.7"
"USC00338609","1980-07","14.2"
"USC00338609","1980-08","40.9"
"USC00338609","1980-09","8.9"
"USC00338609","1980-10","14.5"
"USC00338609","1980-11","11.2"
"USC00338609","1980-12","13.5"
"USC00338609","1981-01","13.5"
"USC00338609","1981-02","31.2"
